English,機械翻訳/machine translation,こんな翻訳もありかも？,Translation,要確認：Yを入力,コメント / comments,Section,,他の翻訳案 / alternative suggestions
Begin a campaign to address food waste across all parts of the food system.,フードシステムのあらゆる部分で食品廃棄物に対処するキャンペーンを開始する。,,フードチェーンのあらゆる場面において、食品ロスを削減するキャンペーンを開始する。,,,,,
Increase amount of habitable land under protection to preserve biodiversity.,生物多様性を維持するために、居住可能な土地の保護範囲を拡大する。,,生物多様性を保全するために、居住可能な土地を保護地域として拡大する。,,,,,
Scale up carbon-negative concrete production processes.,カーボンニュートラルなコンクリート製造プロセスのスケールアップ。,,カーボンネガティブ型コンクリートの製造を拡大する。,,,,,
Expand desalination capacity to supplement dwindling freshwater supplies in stressed regions.,ストレスの多い地域で減少している淡水供給を補うため、海水淡水化能力を拡大する。,,水資源が不足している地域で、淡水共有を補うために海水を淡水化する設備を拡充する。,,,,,
Illuminate cities using satellites that will reflect sunlight onto nighttime cities below. This project will marginally lower electrical demand and will adversely affect nocturnal animals.,人工衛星を利用して、夜間の都市に太陽光を反射させ、都市を照らす。このプロジェクトは、電力需要をわずかに減少させるが、夜行性動物に悪影響を与える。,,人工衛星を利用して、夜間の都市に太陽光を反射させ、都市を照らす。このプロジェクトは、電力需要をわずかに減少させるが、夜行性動物に悪影響を及ぼす。,,,,,
Mandate installation of point-source carbon capture and sequestration (CSS) on all fossil-fuel using facilities to store CO2 underground.,すべての化石燃料使用施設に、CO2を地下に貯留するための点源型炭素分離回収（CSS）の設置を義務付ける。,,すべての化石燃料使用施設に、CO2を固定し地下に貯留するための回収・貯留施設（CSS）の設置を義務付ける。,,,,,
"Implement guidelines for all new construction to use little energy thanks to improvements in insulation, clever design, and energy-production, and retrofit existing buildings to follow suit.",断熱性、デザイン性、エネルギー生産性の向上により、すべての新築建築物にエネルギー消費を少なくするためのガイドラインを導入し、既存の建築物もそれに沿って改修を行う。,,すべての新築建築物において、断熱性、デザイン性、エネルギー生産性の向上によりエネルギーを削減するガイドラインを導入し、既存の建築物もそれに合わせて改修する。,,,,,
"Introduce a new curriculum that argues population is the main driver of the environmental crisis. Children will be taught Malthusian classics such as 'An Essay on Population', 'The Tragedy of the Commons', and 'The Population Bomb'. This curriculum will endear you to the Malthusian but antagonize the Fanonist. ",人口が環境危機の主な原因であると主張する新しいカリキュラムを導入する。子どもたちは、『人口論』、『コモンズの悲劇』、『人口爆弾』といったマルサス派の古典を教わることになる。このカリキュラムは、マルサス主義者には好意的だが、ファノニストには反感を与えるだろう。,,人口が環境危機の主な要因であると主張する新しいカリキュラムを導入する。「人口論」、「コモンズの悲劇」、「人口爆弾」 などのマルサスの流れを汲む古典を読む。この教育課程は、マルサス主義者には好意的に受け止められるが、ファノニストからは反感を買うだろう。,,,,,
"Cell-based meat or ""clean meat"" is in the news, but will it be as popular as meat?",細胞を使った肉、「クリーンミート」が話題になっているが、肉のように普及するのだろうか？,,細胞培養肉、あるいは「クリーンミート」と呼ばれる肉が話題になっているが、肉と同じくらい普及するのだろうか？,,,,,
Develop new more drought-resistant varieties and encourage the adoption of existing drought-resistant crops.,より乾燥に強い新品種を開発し、既存の乾燥に強い作物の採用を奨励する。,,より乾燥に強い新品種を開発し、既存の乾燥に強い作物の導入を促す。,,,,,？
"Gradual replacement of hydrofluorocarbons (HFCs) with alternative refrigerants like ammonia, carbon dioxide, propane, and isobutane that have a significantly lower global warming potential.",ハイドロフルオロカーボン（HFC）を、地球温暖化係数の著しく低いアンモニア、二酸化炭素、プロパン、イソブタンなどの代替冷媒に段階的に置き換えていく。,,既存の冷媒であるハイドロフルオロカーボン（HFC）を、地球温暖化係数が大幅に低いアンモニア、二酸化炭素、プロパン、イソブタンなどの冷媒に段階的に置き換える。,,,,,
"People will work longer and harder, but socialism will be built faster.",人々はより長く、より懸命に働くだろうが、社会主義はより早く構築されるだろう。,,人々はより長く、より熱心に働くだろうが、社会主義はより早く構築されるだろう。,,,,,
Significantly expand the area of no-take marine reserves.,禁漁区の面積を大幅に拡大する。,,海洋保護区の立ち入り禁止区域を大幅に拡大する。,,,,,
III-V Semiconductors solar panels and perovskite-based panels,III-V族半導体太陽電池パネル、ペロブスカイト型太陽電池パネル,,III–V族化合物半導体太陽電池とペロブスカイト太陽電池。,,,,,
The good life isn't about having more things. Degrowth reduces energy and material consumption in the Global North while funding social programs to provide material  support for everyone.,良い人生とは、より多くのものを持つことではありません。脱成長は、北半球のエネルギーと物質の消費を減らす一方で、すべての人に物質的なサポートを提供するための社会プログラムに資金を提供します。,,良い人生とは、より多くのものを持つことではない。脱成長は、北の先進諸国におけるエネルギーと物質の消費を減らす一方で、すべての人に物質的支援を提供するための社会プログラムに資金を用意する。,,,,,
"New curriculum includes a vast literacy campaign to empower the working class and peasants of the global South. The works of Frantz Fanon, Paulo Freire, Audre Lorde will find a broad audience. This program will improve living conditions in the global South as well as your relationship with the Fanonist. ",新しいカリキュラムには、南半球の労働者階級と農民の力を高めるための大規模な識字キャンペーンが含まれています。フランツ・ファノン、パウロ・フレイレ、オードレ・ローデの作品は、幅広い読者を得ることができるでしょう。このプログラムは、南半球の生活環境を改善するだけでなく、ファノニストとの関係も改善することでしょう。,,この新しい教育課程には、南の発展途上国の労働者と農民が力をつけるための識字率向上の大規模な取り組みが含まれる。フランツ・ファノン、パウロ・フレイレ、オードレ・ローデの作品は、幅広い読者受け入れられるだろう。この教育により、南の発展途上国の生活環境を向上させるほか、ファノニストとの関係も改善する。,,,,,
"Develop a video game where citizens can devise their own plans regulating the global economy and natural world. People can debate, compare plans, and become involved in a lively socialist democracy.",世界経済や自然界を規制する計画を市民が独自に立案できるビデオゲームを開発する。人々は議論し、計画を比較し、活発な社会主義民主主義に関与することができる。,,世界経済や自然界を規制する計画を市民が自ら考案できるテレビゲームを開発する。人々は議論し、計画を吟味し、より活発に社会民主主義に関わることができる。,,,,,
